Species,Q_Score,Num_Communities
Rat5,0.2579900425986394,3
Rat6,0.19092660046972315,3
RedKangaroo1,0.2365426989563858,3
RedKangaroo2,0.22950219417674556,3
RedKangaroo3,0.21338870874160668,2
RedNeckWallaby,0.19260935673967844,2
RedPanda,0.3259068569869675,3
Rhinolophus,0.43310389122974013,3
Rhinopoma,0.2719780913146168,4
SandCat1,0.2644763715748026,4
SandCat2,0.3161082687829451,3
SandHedgeHog,0.2568629344600373,4
Sheep,0.3363539341620739,4
Siamang1,0.3142414781209733,4
SkinnyPig,0.26558274917701585,3
SpinyMouse,0.24398452200725837,3
SquirrelMonkey1,0.23272739636261566,3
StrippedDolphin1,0.2675003751780834,5
StrippedDolphin2,0.29332402669341556,4
SturniraLilium,0.30276629897921564,4
TadaridaTeniotis1,0.243737032287301,5
TadaridaTeniotis2,0.32818777644142416,3
TamarinCottonTop1,0.1765785990822462,4
TamarinCottonTop2,0.1745929929695627,3
TamarinEmperor1,0.2188955251503735,3
TamarinEmperor2,0.15613662410742596,4
TamarinGoldenHands,0.24805891513824463,4
Tapir1,0.23483006581467428,3
Tapir2,0.3432301734390187,4
ThomsonGazelle,0.3054992169113503,4
Tiger,0.3162877769699106,4
VampireBat1,0.2908791492845506,3
VampireBat2,0.30095453136508277,4
Vervet,0.2656681346964916,3
Vole,0.22699865360808805,3
WildBoar1,0.32205650966857485,4
WildBoar2,0.28835558971046293,4
WildRabbit1,0.20703503647984542,4
WildRabbit2,0.17985985444493352,4
WildRabbit3,0.19036586100928415,3
WildRat1,0.14431471373743507,4
WildRat2,0.2299393077194677,4
Wilderbeest,0.329126014576232,3
Wolf1,0.281357213060237,3
Wolf2,0.26443362750854227,5
Wolf3,0.28783184529403744,4
Zebra,0.330912212578607,3
