Species,Brain Mass,Order,Beta,Alpha,GI,
CommonTreeShrew,2.02,Other,0.1,1.087169496,1.166359404,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Cow,500,Other,0.1,1.087169496,2.023924272,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Coypu,17.09,Other,0.1,1.087169496,1.444014202,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Cynopterus,1,Chiroptera,0.08,1.206987049,1.206987049,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Deer,409.3,Artiodactyla,0.11,1.24179071,2.4064287,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.24, β=0.11. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Dego,5,Other,0.1,1.087169496,1.277009884,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
DikDik,37,Artiodactyla,0.11,1.24179071,1.847356003,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.24, β=0.11. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Dog,80,Carnivora,0.1,1.087169496,1.685024644,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Donkey,434,Perissodactyla,0.12,0.9746330733,2.019946711,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=0.97, β=0.12. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Eonycteris,1.18,Chiroptera,0.08,1.206987049,1.22307523,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Eptesicus,0.5,Chiroptera,0.08,1.206987049,1.141879327,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
FallowDeer,180,Artiodactyla,0.11,1.24179071,2.19850968,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.24, β=0.11. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
FennekFox,40,Carnivora,,,1.28,"Measured GI = 1.28 from Pillay & Manger (2007), DOI:10.1111/j.1460-9568.2007.05524.x"
Ferret,5,Carnivora,,,1.36,"Measured GI = 1.36 from Pillay & Manger (2007), DOI:10.1111/j.1460-9568.2007.05524.x"
FruitBat,1.5,Chiroptera,0.08,1.206987049,1.246780241,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.21, β=0.08. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Gerbil,2,Rodentia,0.07,1.000269898,1.05,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.00, β=0.07. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Giraffe,700,Other,0.1,1.087169496,2.093182341,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Goat,120,Artiodactyla,0.11,1.24179071,2.102608151,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.24, β=0.11. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
GoldenSpinyMouse,1,Other,0.1,1.087169496,1.087169496,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Gorilla,454.55,Primates,,,2.17,"Measured GI = 2.17 from Zilles et al. (2013), DOI:10.1016/j.tins.2013.01.006"
GrayKangaroo,60,Other,,,1.03,"Measured GI = 1.03 from Lyras et al. (2016), DOI:10.1159/000453104"
GreenMonkey,70,Primates,,,1.87,"Measured GI = 1.87 from Zilles et al. (2013), DOI:10.1016/j.tins.2013.01.006"
Hare,14.35,Other,0.1,1.087169496,1.419000173,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
HimalianBear,350,Other,0.1,1.087169496,1.953008181,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
HippArmiger,10,Other,0.1,1.087169496,1.368665305,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
HoneyBadger,86.04,Carnivora,0.1,1.087169496,1.697333951,"GI_est = α·Mass^β from Pillay & Manger (2007 DOI:10.1111/j.1460-9568.2007.05524.x); α=1.09, β=0.1. Brain mass from Smith et al. 2018 (Dryad DOI:10.5061/dryad.2r62k7s)."
Horse,600,Perissodactyla,,,2.1,"Measured GI = 2.10 from Manger et al. (2012), DOI:10.1002/cne.23046"
HowlerMonkey,50.04,Primates,,,1.47,"Measured GI = 1.47 from Zilles et al. (2013), DOI:10.1016/j.tins.2013.01.006"
